user_id,username,first_name,level,cumul_points,cumul_rank,cumul_good,cumul_exact
user_8528276,Gulie_lovelefoot,Julie,1,4384,1,67,11
user_127563,Alexciter,Alexis,1,4341,2,57,16
user_8524032,UJTHEGOAT,Cynthia,1,4332,3,66,12
user_1387094,LePetitBourbon,Adrien,1,4253,4,62,11
user_3737107,Gael_Monfils,Thibaut,1,4148,5,62,15
user_134645,Tristan85110,Tristan,1,4050,6,61,12
user_2834762,CamilleC15,Camille,1,3993,7,57,13
user_78584,ThierryPainDeMie,Julien,1,3769,8,56,5
user_7477732,Djimitraillette,Jimmy,2,3748,9,48,12
user_8379079,CarlaLege,Carla,1,3744,10,61,6
user_11640165,Olie10,Aurelie,2,3727,11,57,9
user_8353744,Manongtr,Manon,2,3485,12,52,11
user_3663301,Jeandispasplus,Lege,2,3468,13,51,11
user_8510019,La-doune,Morgane,2,3378,14,54,9
user_1406528,Samuel#2BXK1,Samuel,1,3297,15,55,8
user_10266472,Nanou-lege,Anaelle,2,3203,16,48,5
user_498143,remikado,remi,2,3103,17,49,8
user_7780698,TestMatchNul,Thomas,5,2632,18,21,8
